,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
74,Castro,75,CL,1562511338,93,-42.48,-73.76,46.4,6.93
75,Pierre,1,US,1562511338,78,44.37,-100.35,75.99,10.29
76,Kursumlija,20,RS,1562511338,23,43.14,21.27,95.0,1.12
77,Rincon,20,PA,1562511338,78,8.46,-82.28,82.4,2.24
78,East London,0,ZA,1562511338,55,-33.02,27.91,64.4,21.92
79,Springbok,70,ZA,1562511339,65,-29.67,17.88,63.72,3.76
80,San Patricio,0,PY,1562511339,50,-26.98,-56.83,52.2,5.08
81,Lebu,100,ET,1562511339,88,8.96,38.73,60.3,3.69
82,Dali,0,CN,1562511339,40,34.79,109.94,77.58,9.51
83,Lakatoro,15,VU,1562511340,78,-16.11,167.42,77.94,11.05
84,Kholodnyy,99,RU,1562511340,87,62.72,147.95,44.1,3.96
85,Kodiak,40,US,1562511340,44,39.95,-94.76,81.0,6.93
86,Todos Santos,90,MX,1562511340,32,23.45,-110.23,88.0,7.27
87,Port Alfred,17,ZA,1562511340,73,-33.59,26.89,60.01,5.99
88,Asola,40,IT,1562511341,49,45.22,10.41,93.2,17.22
89,Saint-Ambroise,20,CA,1562511341,51,48.56,-71.32,69.01,11.41
90,Saldanha,100,PT,1562511341,25,41.42,-6.55,83.52,6.93
91,Chokurdakh,100,RU,1562511341,87,70.62,147.9,42.3,10.69
92,Torbay,90,CA,1562511341,93,47.66,-52.73,69.01,19.46
93,Khatanga,100,RU,1562511342,70,71.98,102.47,50.22,17.36
94,Bredasdorp,78,ZA,1562511342,52,-34.53,20.04,66.2,13.87
95,Avarua,87,CK,1562511342,68,-21.21,-159.78,71.6,10.29
96,Luancheng,0,CN,1562511342,78,37.88,114.65,73.4,2.24
97,Wuwei,100,CN,1562511341,79,37.93,102.64,55.62,3.89
98,North Bend,1,US,1562511343,93,43.41,-124.22,59.0,3.36
99,Marystown,92,CA,1562511343,83,47.17,-55.16,59.76,13.94
100,Alta Floresta,0,BR,1562511343,41,-9.87,-56.08,77.0,9.17
101,Pevek,74,RU,1562511343,74,69.7,170.27,45.36,20.4
102,Turayf,0,SA,1562511343,12,31.68,38.65,96.8,6.93
103,Saskylakh,96,RU,1562511344,88,71.97,114.09,47.52,5.23
104,Monroe,75,US,1562511344,88,41.91,-83.4,75.99,6.93
105,Luderitz,0,NA,1562511344,56,-26.65,15.16,69.8,17.22
106,Ordynskoye,0,RU,1562511344,82,54.37,81.9,59.94,7.16
107,Seymchan,21,RU,1562511344,88,62.93,152.39,40.5,2.33
108,Cherskiy,83,RU,1562511345,51,68.75,161.3,62.64,12.12
109,Tura,6,RU,1562511345,86,64.27,100.22,58.32,6.46
110,Rocha,0,UY,1562511345,51,-34.48,-54.34,48.6,3.33
111,Barrow,100,AR,1562511345,61,-38.31,-60.23,50.22,10.8
112,Adrar,0,DZ,1562511345,4,27.87,-0.29,118.4,17.22
113,Ancud,75,CL,1562511346,93,-41.87,-73.83,46.4,6.93
114,Westport,90,US,1562511346,65,41.14,-73.36,81.0,9.17
115,Longyearbyen,40,NO,1562511346,71,78.22,15.63,53.6,4.7
116,Xucheng,67,CN,1562511346,70,33.0,118.51,73.62,7.09
117,Bethel,1,US,1562511347,50,60.79,-161.76,78.8,8.05
118,Tual,65,ID,1562511347,81,-5.67,132.75,78.3,20.38
119,Springside,1,CA,1562511347,82,51.35,-102.74,66.2,10.29
120,Hambantota,0,LK,1562511347,94,6.12,81.12,82.4,14.99
121,San Jose,75,HN,1562511347,83,14.25,-87.96,77.0,9.17
122,Rodotopion,20,GR,1562511348,23,39.71,20.73,95.0,7.81
123,Pirot,20,RS,1562511348,23,43.16,22.59,95.0,1.12
124,Cayenne,75,GF,1562511348,70,4.94,-52.33,84.2,11.41
125,Kapaa,40,US,1562511348,78,22.08,-159.32,78.8,13.87
126,Petropavlovsk-Kamchatskiy,90,RU,1562511348,100,53.05,158.65,48.2,4.47
127,Karpathos,0,GR,1562511349,65,35.51,27.21,80.6,31.09
128,Te Anau,72,NZ,1562511349,85,-45.41,167.72,37.98,5.32
129,Port Elizabeth,90,US,1562511319,78,39.31,-74.98,84.0,5.82
130,Hilo,75,US,1562511349,83,19.71,-155.08,71.6,5.82
131,Analipsis,20,GR,1562511349,54,35.32,25.57,88.0,13.87
132,Sri Aman,13,MY,1562511349,88,1.24,111.46,77.0,2.33
133,Kaduna,80,NG,1562511350,65,10.52,7.44,84.96,6.15
134,Hualmay,100,PE,1562511350,85,-11.1,-77.61,63.18,12.64
135,Faya,40,SA,1562511350,50,18.39,42.45,77.0,13.87
136,Qaanaaq,99,GL,1562511350,50,77.48,-69.36,46.44,10.18
137,Leshukonskoye,100,RU,1562511350,42,64.9,45.76,68.04,10.11
138,Codrington,75,AU,1562511351,93,-28.95,153.24,59.0,3.51
139,Homnabad,86,IN,1562511351,76,17.77,77.13,77.4,18.5
140,Tuatapere,100,NZ,1562511351,86,-46.13,167.69,43.0,20.0
141,Manono,95,CD,1562511351,20,-7.3,27.4,92.7,6.24
142,Havoysund,90,NO,1562511351,51,71.0,24.66,62.6,19.46
143,Chuy,0,UY,1562511352,60,-33.69,-53.46,46.8,6.2
144,Starobaltachevo,82,RU,1562511352,84,56.0,55.92,61.92,8.21
145,Umm Lajj,100,SA,1562511352,75,25.02,37.27,85.32,4.68
146,Porbandar,63,IN,1562511352,84,21.64,69.61,82.98,16.6
147,Kaitangata,100,NZ,1562511353,61,-46.28,169.85,45.0,13.0
148,Rudsar,20,IR,1562511353,58,37.14,50.29,82.4,6.93
149,Acajutla,100,SV,1562511353,59,13.59,-89.83,83.7,2.66
150,Ponta do Sol,0,BR,1562511353,35,-20.63,-46.0,63.18,4.7
151,Mar del Plata,100,AR,1562511353,63,-46.43,-67.52,42.66,3.42
152,Kenai,1,US,1562511354,87,60.55,-151.26,57.0,6.96
153,Thompson,75,CA,1562511354,55,55.74,-97.86,66.2,2.24
154,Touros,75,BR,1562511354,66,-5.2,-35.46,84.2,11.41
155,Pauini,100,BR,1562511354,52,-7.71,-67.0,72.9,4.83
156,Sosnovoborsk,0,RU,1562511354,68,56.12,93.34,68.0,4.47
157,Dhidhdhoo,100,MV,1562511242,80,6.88,73.1,83.88,11.3
158,Arona,0,IT,1562511098,41,45.76,8.56,93.0,5.82
159,Iqaluit,75,CA,1562511355,54,63.75,-68.52,57.2,3.36
160,Vung Tau,7,VN,1562511152,84,10.35,107.08,80.1,7.54
161,Skjervoy,0,NO,1562511355,55,70.03,20.97,60.8,12.75
162,Ribeira Grande,75,PT,1562511355,88,38.52,-28.7,73.4,8.05
163,Xining,92,CN,1562511356,96,36.62,101.77,46.8,1.59
164,Genc,80,TR,1562511356,39,38.75,40.56,74.7,7.0
165,Mogadouro,100,PT,1562511356,25,41.34,-6.71,83.52,6.93
166,Vestmanna,40,FO,1562511356,76,62.16,-7.17,51.8,14.99
167,Aragarcas,0,BR,1562511356,34,-15.9,-52.25,68.0,6.93
168,Takoradi,93,GH,1562511356,84,4.89,-1.75,77.94,10.02
169,Makakilo City,40,US,1562511357,78,21.35,-158.09,80.6,5.82
170,Tiznit,0,MA,1562511357,86,29.7,-9.73,67.14,15.19
171,Batemans Bay,98,AU,1562511357,94,-35.71,150.18,53.01,1.01
172,Wilmslow,20,GB,1562511357,48,53.33,-2.23,73.0,3.36
173,Abengourou,71,CI,1562511357,77,6.73,-3.5,80.82,3.69
174,Souillac,20,FR,1562511358,54,45.6,-0.6,88.0,11.41
175,Bathsheba,40,BB,1562511358,70,13.22,-59.52,86.0,16.11
176,Kruisfontein,15,ZA,1562511358,74,-34.0,24.73,54.18,17.78
177,Charters Towers,68,AU,1562511358,94,-20.07,146.27,64.62,9.04
178,Leningradskiy,0,RU,1562511358,65,69.38,178.42,52.56,7.94
179,Nador,20,MA,1562511131,50,35.17,-2.93,77.0,16.11
180,Lamar,1,US,1562511299,60,38.09,-102.62,77.0,10.74
181,Lincoln,0,GB,1562511359,52,53.23,-0.54,72.0,4.7
182,Fortuna,90,US,1562511349,87,40.6,-124.16,57.99,4.7
183,Anadyr,20,RU,1562511359,82,64.73,177.51,55.4,2.24
184,Alofi,100,NU,1562511359,83,-19.06,-169.92,73.4,8.05
185,Sorong,100,ID,1562511360,96,-0.86,131.25,74.7,7.16
186,Saint-Brieuc,0,FR,1562511360,68,48.51,-2.76,73.0,11.41
187,Ponta Delgada,75,PT,1562511360,78,37.73,-25.67,71.6,5.82
188,Pisco,90,PE,1562511360,30,-13.71,-76.2,71.6,3.36
189,Tiksi,16,RU,1562511360,81,71.64,128.87,39.96,5.21
190,Vaini,90,IN,1562511361,94,15.34,74.49,73.4,6.93
191,Minnedosa,40,CA,1562511101,64,50.25,-99.84,69.8,5.82
192,Rawson,100,AR,1562511361,52,-43.3,-65.11,51.48,12.55
193,Padang,40,ID,1562511361,88,-0.92,100.36,78.8,4.7
194,Sao Joao da Barra,20,BR,1562511361,46,-21.64,-41.05,71.6,13.87
195,Aklavik,75,CA,1562511361,81,68.22,-135.01,48.2,6.93
196,Lavrentiya,29,RU,1562511362,53,65.58,-170.99,60.48,1.48
197,Fort Nelson,90,CA,1562511362,93,58.81,-122.69,55.4,5.82
198,Barcelos,69,BR,1562511362,79,-0.97,-62.93,82.26,5.17
199,Itoman,75,JP,1562511362,94,26.12,127.67,78.8,14.99
200,Moose Factory,1,CA,1562511363,49,51.26,-80.61,69.8,8.05
201,Bowen,90,AU,1562511363,94,-20.01,148.25,69.01,12.75
202,Kathu,0,ZA,1562511271,41,-27.7,23.05,64.0,3.0
203,Kintinku,92,TZ,1562511363,34,-5.89,35.22,84.78,8.21
204,Salinopolis,23,BR,1562511128,79,-0.61,-47.36,81.0,13.22
205,Sharan,0,AF,1562511364,7,33.15,68.78,82.26,8.3
206,Hermon,4,AM,1562511364,65,39.88,45.43,61.74,10.38
207,Suzun,4,RU,1562511364,83,53.78,82.32,60.3,5.57
208,Ridgecrest,100,US,1562511364,24,35.62,-117.67,82.0,4.0
209,Santa Maria del Oro,78,MX,1562511364,48,25.95,-105.37,70.02,0.94
210,Sitka,100,US,1562511365,90,37.17,-99.65,73.0,4.0
211,Orlik,40,PL,1562511365,59,53.95,17.74,60.8,20.8
212,Ust-Barguzin,97,RU,1562511365,95,53.41,109.03,50.22,4.09
213,Kloulklubed,75,PW,1562511365,94,7.04,134.26,77.0,5.37
214,Boende,100,CD,1562511366,80,-0.28,20.88,79.92,1.52
215,Zhangjiakou,69,CN,1562511366,77,40.77,114.88,56.7,8.97
216,Tilichiki,99,RU,1562511366,93,60.47,166.1,44.46,1.66
217,Kavaratti,100,IN,1562511366,81,10.57,72.64,84.06,16.8
218,San Ignacio,100,PE,1562511366,98,-5.15,-79.0,60.48,0.6
219,Brae,100,GB,1562511367,76,60.4,-1.35,51.8,18.34
220,Tasiilaq,88,GL,1562511367,75,65.61,-37.64,46.4,4.7
221,Inuvik,75,CA,1562511367,75,68.36,-133.71,48.2,5.82
222,Ola,100,RU,1562511367,93,59.58,151.3,46.26,13.47
223,Nouadhibou,0,MR,1562511367,64,20.93,-17.03,75.2,21.92
224,Upernavik,40,GL,1562511368,70,72.79,-56.15,44.1,7.87
225,Lerwick,75,GB,1562511368,76,60.15,-1.15,51.8,16.11
226,Kiama,75,AU,1562511368,76,-34.67,150.86,57.99,5.82
227,Richards Bay,55,ZA,1562511368,67,-28.77,32.06,70.2,20.58
228,Sao Felix do Xingu,5,BR,1562511368,47,-6.64,-51.99,86.94,5.37
229,Madang,90,CN,1562511369,94,35.32,102.79,37.62,2.66
230,Wajima,0,JP,1562511369,92,37.4,136.9,70.92,9.48
231,Camacha,40,PT,1562511369,69,33.08,-16.33,75.2,12.75
232,Grand-Santi,38,GF,1562511369,52,4.27,-54.38,86.4,4.38
233,Xingyi,100,CN,1562511369,97,24.19,102.82,62.28,4.32
234,Mountain Home,1,US,1562511170,51,43.13,-115.69,63.0,4.7
235,Yerbogachen,35,RU,1562511370,82,61.28,108.01,60.84,5.32
236,Machacamarca,0,BO,1562511370,21,-17.45,-67.6,50.22,5.77
237,Elko,1,US,1562511090,58,40.83,-115.76,68.0,2.33
238,Tabou,70,CI,1562511370,69,4.42,-7.36,81.0,9.37
239,Port Lincoln,0,AU,1562511370,73,-34.72,135.86,58.14,14.09
240,Riyadh,40,SA,1562511371,4,24.63,46.72,114.8,2.06
241,Shar,86,NG,1562511371,75,7.3,8.73,84.24,10.47
242,Altay,97,CN,1562511371,47,47.83,88.13,63.9,8.95
243,Norman Wells,90,CA,1562511371,71,65.28,-126.83,50.0,11.41
244,Maues,98,BR,1562511372,69,-3.38,-57.72,84.24,1.07
245,Dubai,0,AE,1562511273,56,25.27,55.3,102.2,12.75
246,Losevo,75,RU,1562511372,77,51.73,38.83,64.4,6.71
247,Vila,0,IT,1562511372,41,45.18,8.4,95.0,5.82
248,La Rioja,100,AR,1562511372,63,-29.41,-66.86,45.54,4.83
249,Troitskoye,77,RU,1562511372,72,52.98,84.68,62.82,5.59
250,Reconquista,100,AR,1562511373,51,-29.14,-59.64,50.58,8.37
251,Pagudpud,100,PH,1562511373,76,18.56,120.79,84.6,17.69
252,San Rafael,36,AR,1562511149,55,-34.61,-68.33,49.5,5.57
253,Ankang,100,CN,1562511373,60,32.73,108.99,72.9,1.39
254,Constitucion,40,MX,1562511374,59,23.99,-104.67,69.01,2.24
255,Mackay,90,CA,1562511374,100,53.65,-115.58,53.6,8.05
256,Ahuimanu,1,US,1562511374,83,21.44,-157.84,80.6,11.41
257,Concepcion del Oro,34,MX,1562511374,58,24.63,-101.42,66.96,1.43
258,Hamilton,75,CA,1562511132,68,43.26,-79.87,75.0,17.22
259,Argostolion,20,GR,1562511374,79,38.18,20.49,89.6,11.41
260,Namatanai,95,PG,1562511375,83,-3.66,152.44,79.2,12.91
261,Karaton,20,ID,1562511375,74,-6.34,106.1,80.6,5.82
262,Sawtell,33,AU,1562511375,100,-30.38,153.1,57.2,3.36
263,Viedma,100,AR,1562511375,56,-40.81,-62.99,51.66,13.42
264,Vardo,1,US,1562511376,78,39.62,-77.74,81.0,6.93
265,Montrose,75,GB,1562511191,55,56.71,-2.47,60.8,2.24
266,Roebourne,0,AU,1562511376,63,-20.77,117.15,66.06,3.83
267,Georgetown,40,GY,1562511376,74,6.8,-58.16,86.0,13.87
268,Egvekinot,33,RU,1562511376,70,66.32,-179.17,51.12,4.47
269,Yeovil,73,GB,1562511377,49,50.94,-2.63,75.0,8.05
270,Chara,20,GR,1562511377,30,39.42,22.43,100.4,13.87
271,Namibe,75,AO,1562511377,73,-15.19,12.15,71.6,12.75
272,Faanui,0,PF,1562511377,82,-16.48,-151.75,78.66,17.16
273,Beira,75,ES,1562511377,73,43.2,-8.36,75.99,10.29
274,Semnan,20,IR,1562511378,9,35.58,53.39,102.2,11.41
275,Hayden,1,US,1562511378,59,47.77,-116.79,62.01,4.7
276,Karangasem,0,ID,1562511378,80,-6.7,108.49,74.7,4.23
277,San Cristobal,55,HN,1562511378,62,14.68,-86.92,78.48,5.73
278,Vereya,48,RU,1562511378,80,55.34,36.19,61.92,7.16
279,Grindavik,20,IS,1562511379,51,63.84,-22.43,60.8,6.93
280,Marsaxlokk,0,MT,1562511379,32,35.84,14.54,93.2,12.75
281,Bograd,0,RU,1562511379,65,54.22,90.86,77.0,7.25
282,Illela,0,NG,1562511379,27,12.25,4.3,101.7,7.34
283,Manzhouli,53,CN,1562511379,82,49.6,117.43,55.8,1.86
284,Namie,100,JP,1562511380,68,37.52,140.86,63.0,7.36
285,Ugoofaaru,4,MV,1562511292,76,5.67,73.0,84.42,10.51
286,Aketi,39,CD,1562511380,68,2.74,23.78,81.0,3.87
287,Narsaq,75,GL,1562511380,22,60.91,-46.05,64.4,31.09
288,Tornio,0,FI,1562511380,77,61.12,27.27,61.0,2.24
289,Berlevag,20,NO,1562511381,76,70.86,29.09,50.0,14.99
290,Port Hardy,90,CA,1562511381,100,50.7,-127.42,53.6,4.7
291,Samarai,64,PG,1562511381,93,-10.62,150.67,73.62,5.3
292,Sandomierz,40,PL,1562511381,64,50.68,21.75,69.8,16.11
293,Srednekolymsk,94,RU,1562511381,56,67.46,153.71,62.28,13.62
294,Saint-Pierre,75,FR,1562511382,53,48.95,4.24,80.6,13.87
295,Chupa,0,PE,1562511382,31,-15.11,-69.99,48.2,2.24
296,Ust-Nera,0,RU,1562511382,83,64.57,143.24,45.0,1.83
297,Damaturu,71,NG,1562511382,24,11.75,11.96,100.98,2.66
298,Praia da Vitoria,40,PT,1562511383,65,38.73,-27.07,80.6,17.65
299,Maua,28,KE,1562511383,79,0.23,37.94,55.8,9.98
300,Dharchula,100,IN,1562511383,94,29.85,80.53,58.14,0.27
301,Christchurch,0,NZ,1562511383,93,-43.53,172.64,41.0,4.7
302,Gushikawa,75,JP,1562511383,94,26.35,127.87,78.8,14.99
303,Chaiya,87,IN,1562511384,30,29.28,74.48,98.64,9.64
304,Nenjiang,0,CN,1562511384,89,49.17,125.23,63.72,3.62
305,Ribas do Rio Pardo,0,BR,1562511384,41,-20.45,-53.76,59.76,11.3
306,Nola,99,CF,1562511384,84,3.52,16.05,76.86,3.09
307,Ilebo,21,CD,1562511384,19,-4.33,20.59,94.14,3.62
308,Vermilion,75,CA,1562511384,93,53.35,-110.85,60.8,4.7
309,Morro Bay,75,US,1562511385,93,35.37,-120.85,59.0,4.7
310,Gat,0,SN,1562511385,58,14.69,-16.54,86.0,10.29
311,Mahajanga,20,MG,1562511385,69,-15.72,46.32,82.4,6.93
312,Burnie,100,AU,1562511385,95,-41.05,145.91,48.99,1.99
313,Dunedin,100,NZ,1562511385,67,-45.87,170.5,45.0,38.99
314,Rochester,1,US,1562511331,64,44.02,-92.46,77.0,3.36
315,Vao,71,EE,1562511386,70,59.1,26.19,59.94,8.86
316,Yanam,75,IN,1562511386,66,16.73,82.22,87.8,9.17
317,Broken Hill,90,AU,1562511386,87,-31.97,141.45,53.6,4.7
318,Ixtapa,5,MX,1562511386,61,20.71,-105.21,84.0,4.52
319,Norden,75,DE,1562511387,58,53.59,7.21,62.01,12.75
320,Vila Franca do Campo,75,PT,1562511387,78,37.72,-25.43,71.6,5.82
321,Calvinia,15,ZA,1562511387,64,-31.47,19.78,55.26,10.4
322,Tautira,62,PF,1562511387,83,-17.73,-149.15,75.2,2.24
323,Jalu,0,LY,1562511388,13,29.03,21.55,99.54,13.06
324,Phan Thiet,0,VN,1562511388,87,10.93,108.1,77.04,5.08
325,Ambon,0,FR,1562511388,47,47.55,-2.56,84.99,5.82
326,Ilulissat,40,GL,1562511388,43,69.22,-51.1,55.4,4.7
327,Basoko,100,CD,1562511388,68,1.23,23.61,79.02,1.41
328,Salalah,75,OM,1562511389,84,17.01,54.1,86.0,11.41
329,Bandarbeyla,20,SO,1562511389,29,9.49,50.81,94.5,20.07
330,Rawlins,1,US,1562511133,45,41.79,-107.24,62.6,10.29
331,Muros,75,ES,1562511389,82,42.77,-9.06,73.0,8.05
332,Naze,100,NG,1562511389,94,5.43,7.07,75.24,6.44
333,Cap Malheureux,40,MU,1562511390,78,-19.98,57.61,75.2,8.05
334,Tamandare,99,BR,1562511390,64,-8.28,-70.75,64.62,3.85
335,Nicolas Bravo,40,MX,1562511390,59,24.39,-104.74,69.01,2.24
336,Langsa,100,ID,1562511390,97,4.47,97.97,70.56,1.72
337,Sumbe,0,AO,1562511390,82,-11.2,13.84,77.0,12.75
338,Parana,90,BR,1562511391,82,-7.52,-72.89,66.2,5.82
339,Babu,100,CN,1562511391,94,23.23,104.89,68.58,4.79
340,Krasnomayskiy,0,RU,1562511391,63,55.0,82.52,66.2,8.95
341,Plainview,75,US,1562511391,82,34.18,-101.71,73.99,5.82
342,Amarkantak,100,IN,1562511391,89,22.67,81.76,75.42,6.38
343,Gamba,98,CN,1562511392,55,28.28,88.52,49.5,7.63
344,Pirovskoye,3,RU,1562511392,61,57.63,92.27,68.58,4.79
345,Mazagao,40,BR,1562511392,62,-0.12,-51.29,89.6,11.41
346,Alamos,86,AR,1562511392,65,-36.9,-62.36,49.14,10.22
347,Severo-Kurilsk,100,RU,1562511393,95,50.68,156.12,43.38,3.71
348,Shache,6,CN,1562511393,20,38.42,77.24,87.3,9.28
349,Kahului,40,US,1562511393,100,20.89,-156.47,73.0,11.41
350,Halifax,20,CA,1562511210,59,44.65,-63.58,72.0,8.05
351,Guerrero Negro,52,MX,1562511393,90,27.97,-114.04,62.64,8.88
352,Chegdomyn,80,RU,1562511393,92,51.13,133.04,60.66,2.39
353,Shingu,29,JP,1562511394,95,33.72,135.99,61.2,0.22
354,Soyo,40,AO,1562511394,69,-6.13,12.37,80.6,8.05
355,Mayumba,92,GA,1562511394,89,-3.44,10.65,73.08,2.42
356,Ambilobe,25,MG,1562511394,83,-13.19,49.05,75.78,3.67
357,Mandalgovi,100,MN,1562511394,71,45.76,106.27,61.02,9.82
358,Sola,90,TZ,1562511395,31,-3.17,33.8,84.06,8.79
359,Pontianak,100,ID,1562511395,76,-0.02,109.34,84.06,9.08
360,Katsuura,20,JP,1562511395,78,33.93,134.5,75.2,5.82
361,Makat,59,KZ,1562511395,23,47.65,53.35,88.02,13.73
362,Pangnirtung,100,CA,1562511395,79,66.15,-65.72,45.72,0.94
363,Goose Creek,1,US,1562511396,78,38.32,-85.65,87.01,3.47
364,San Buenaventura,40,MX,1562511396,65,27.06,-101.55,78.8,5.17
365,Ostersund,47,SE,1562511396,66,63.18,14.64,57.99,11.41
366,Jaru,18,BR,1562511396,48,-10.43,-62.48,72.36,7.07
367,Avera,40,US,1562511397,83,33.19,-82.53,88.0,3.36
368,Batagay,100,RU,1562511397,59,67.65,134.64,56.52,0.58
369,Montemorelos,46,MX,1562511397,55,25.19,-99.83,87.01,3.0
370,Javanrud,20,IR,1562511397,8,34.8,46.49,96.8,9.17
371,Oktyabrskiy,0,RU,1562511398,45,55.61,37.97,68.0,6.71
372,Paamiut,100,GL,1562511398,75,61.99,-49.67,46.98,8.14
373,Offa,65,CI,1562511398,88,5.92,-4.35,78.84,3.15
374,Kargil,84,PK,1562511398,45,34.56,76.13,60.84,8.86
375,Lahan,100,NP,1562511398,75,26.71,86.48,83.88,8.93
